sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_super_products_sku,_super_attribute_code,_super_attribute_option,_super_attribute_price_corr
S16-3009-Χρώμα-Μαύρο-Μέγεθος-A,,Default,simple,,,base,Μαύρο,,,2016-04-12 13:49:59,,,,,"φούστα σε ίσια γραμμή από βαμβακερό ελαστικό ύφασμα με κουμπιά, ""κομποζέ"" με ασπρόμαυρο ζακάρ ύφασμα. Συνδυάζεται με μαύρο σακάκι ή με το ζακάρ ασπρόμαυρο σακάκι μας (S16-5010). 
",Όχι,,,0,,,,,φούστα με κουμπιά από ελαστικό βαμβακερό ύφασμα ,"φούστα με κουμπιά, φούστα, φούστα μεγάλα μεγέθη, φούστα plus sizes, φούστα μοντέρνα, φούστα καλοκαιρινή, φούστα ανοιξιάτικη, φούστα βαμβακερή",φούστα με κουμπιά,,,Use config,Use config,φούστα σε ίσια γραμμή  - Χρώμα Μαύρο - Μέγεθος A,,,Product Info Column,,68,0,φούστα με κουμπιά από ελαστικό βαμβακερό ύφασμα ,A,,,,,,1,0,,,2016-04-13 08:18:09,a,a-2600.html,1,1,1,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
S16-3009-Χρώμα-Μαύρο-Μέγεθος-B,,Default,simple,,,base,Μαύρο,,,2016-04-12 13:50:02,,,,,"φούστα σε ίσια γραμμή από βαμβακερό ελαστικό ύφασμα με κουμπιά, ""κομποζέ"" με ασπρόμαυρο ζακάρ ύφασμα. Συνδυάζεται με μαύρο σακάκι ή με το ζακάρ ασπρόμαυρο σακάκι μας (S16-5010). 
",Όχι,,,0,,,,,φούστα με κουμπιά από ελαστικό βαμβακερό ύφασμα ,"φούστα με κουμπιά, φούστα, φούστα μεγάλα μεγέθη, φούστα plus sizes, φούστα μοντέρνα, φούστα καλοκαιρινή, φούστα ανοιξιάτικη, φούστα βαμβακερή",φούστα με κουμπιά,,,Use config,Use config,φούστα σε ίσια γραμμή  - Χρώμα Μαύρο - Μέγεθος B,,,Product Info Column,,68,0,φούστα με κουμπιά από ελαστικό βαμβακερό ύφασμα ,B,,,,,,1,0,,,2016-04-13 08:18:09,b,b-2605.html,1,1,1,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
S16-3009-Χρώμα-Μαύρο-Μέγεθος-C,,Default,simple,,,base,Μαύρο,,,2016-04-12 13:50:05,,,,,"φούστα σε ίσια γραμμή από βαμβακερό ελαστικό ύφασμα με κουμπιά, ""κομποζέ"" με ασπρόμαυρο ζακάρ ύφασμα. Συνδυάζεται με μαύρο σακάκι ή με το ζακάρ ασπρόμαυρο σακάκι μας (S16-5010). 
",Όχι,,,0,,,,,φούστα με κουμπιά από ελαστικό βαμβακερό ύφασμα ,"φούστα με κουμπιά, φούστα, φούστα μεγάλα μεγέθη, φούστα plus sizes, φούστα μοντέρνα, φούστα καλοκαιρινή, φούστα ανοιξιάτικη, φούστα βαμβακερή",φούστα με κουμπιά,,,Use config,Use config,φούστα σε ίσια γραμμή  - Χρώμα Μαύρο - Μέγεθος C,,,Product Info Column,,68,0,φούστα με κουμπιά από ελαστικό βαμβακερό ύφασμα ,C,,,,,,1,0,,,2016-04-13 08:18:09,c,c-2554.html,1,1,1,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
S16-3009-Χρώμα-Μαύρο-Μέγεθος-D,,Default,simple,,,base,Μαύρο,,,2016-04-12 13:50:08,,,,,"φούστα σε ίσια γραμμή από βαμβακερό ελαστικό ύφασμα με κουμπιά, ""κομποζέ"" με ασπρόμαυρο ζακάρ ύφασμα. Συνδυάζεται με μαύρο σακάκι ή με το ζακάρ ασπρόμαυρο σακάκι μας (S16-5010). 
",Όχι,,,0,,,,,φούστα με κουμπιά από ελαστικό βαμβακερό ύφασμα ,"φούστα με κουμπιά, φούστα, φούστα μεγάλα μεγέθη, φούστα plus sizes, φούστα μοντέρνα, φούστα καλοκαιρινή, φούστα ανοιξιάτικη, φούστα βαμβακερή",φούστα με κουμπιά,,,Use config,Use config,φούστα σε ίσια γραμμή  - Χρώμα Μαύρο - Μέγεθος D,,,Product Info Column,,68,0,φούστα με κουμπιά από ελαστικό βαμβακερό ύφασμα ,D,,,,,,1,0,,,2016-04-13 08:18:09,d,d-2559.html,1,1,1,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
S16-3009-Χρώμα-Μαύρο-Μέγεθος-E,,Default,simple,,,base,Μαύρο,,,2016-04-12 13:50:10,,,,,"φούστα σε ίσια γραμμή από βαμβακερό ελαστικό ύφασμα με κουμπιά, ""κομποζέ"" με ασπρόμαυρο ζακάρ ύφασμα. Συνδυάζεται με μαύρο σακάκι ή με το ζακάρ ασπρόμαυρο σακάκι μας (S16-5010). 
",Όχι,,,0,,,,,φούστα με κουμπιά από ελαστικό βαμβακερό ύφασμα ,"φούστα με κουμπιά, φούστα, φούστα μεγάλα μεγέθη, φούστα plus sizes, φούστα μοντέρνα, φούστα καλοκαιρινή, φούστα ανοιξιάτικη, φούστα βαμβακερή",φούστα με κουμπιά,,,Use config,Use config,φούστα σε ίσια γραμμή  - Χρώμα Μαύρο - Μέγεθος E,,,Product Info Column,,68,0,φούστα με κουμπιά από ελαστικό βαμβακερό ύφασμα ,E,,,,,,1,0,,,2016-04-13 08:18:09,e,e-2448.html,1,1,1,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
S16-3009,,Default,configurable,άνοιξη/Φούστες,Default Category,base,,,,2016-04-12 13:41:13,,,,,"φούστα σε ίσια γραμμή από βαμβακερό ελαστικό ύφασμα με κουμπιά, ""κομποζέ"" με ασπρόμαυρο ζακάρ ύφασμα. Συνδυάζεται με μαύρο σακάκι ή με το ζακάρ ασπρόμαυρο σακάκι μας (S16-5010). 

",Όχι,,,1,/s/1/s16-5010-tagier-kai-gia-sakaki-kai-foysta_1.jpg,,,,φούστα με κουμπιά από ελαστικό βαμβακερό ύφασμα ,"φούστα με κουμπιά, φούστα, φούστα μεγάλα μεγέθη, φούστα plus sizes, φούστα μοντέρνα, φούστα καλοκαιρινή, φούστα ανοιξιάτικη, φούστα βαμβακερή",φούστα με κουμπιά,,,Use config,Use config,φούστα σε ίσια γραμμή ,,,Product Info Column,,68,1,φούστα με κουμπιά από ελαστικό βαμβακερό ύφασμα ,,/s/1/s16-3009-fousta-22-mono.jpg,,,,,1,0,/s/1/s16-3009-fousta.jpg,,2016-04-13 08:18:08,fousta-se-isia-grammi,fousta-se-isia-grammi.html,4,,0,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,88,/s/1/s16-3009-fousta.jpg,,1,0,S16-3009-Χρώμα-Μαύρο-Μέγεθος-A,color,Μαύρο,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/s/1/s16-3009-fousta-22-mono.jpg,,2,0,S16-3009-Χρώμα-Μαύρο-Μέγεθος-B,color,Μαύρο,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/s/1/s16-5010-tagier-kai-gia-sakaki-kai-foysta_1.jpg,,3,0,S16-3009-Χρώμα-Μαύρο-Μέγεθος-C,color,Μαύρο,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,/m/a/mavro_6_8.png,μαύρο-swatch,4,0,S16-3009-Χρώμα-Μαύρο-Μέγεθος-D,color,Μαύρο,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S16-3009-Χρώμα-Μαύρο-Μέγεθος-E,color,Μαύρο,
